Casos,Casos confirmados,Casos probables,Departamentos,Distritos,Provincias,Año,Eventos o daños,Semana
1,1,0,TUMBES,SAN JUAN DE LA VIRGEN,TUMBES,2015,Dengue,3
8,8,0,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,2015,Dengue,3
1,1,0,SAN MARTIN,JEPELACIO,MOYOBAMBA,2015,Dengue,3
1,1,0,LORETO,TIGRE,LORETO,2015,Dengue,3
0,0,0,LORETO,ALTO NANAY,MAYNAS,2015,Dengue,3
3,3,0,TUMBES,CANOAS DE PUNTA SAL,CONTRALMIRANTE VILLAR,2015,Dengue,3
0,0,0,SAN MARTIN,TOCACHE,TOCACHE,2015,Dengue,3
62,62,0,LORETO,YURIMAGUAS,ALTO AMAZONAS,2015,Dengue,3
4,4,0,TUMBES,AGUAS VERDES,ZARUMILLA,2015,Dengue,3
0,0,0,MADRE DE DIOS,INAMBARI,TAMBOPATA,2015,Dengue,3
0,0,0,HUANUCO,PUERTO INCA,PUERTO INCA,2015,Dengue,3
1,1,0,UCAYALI,CAMPOVERDE,CORONEL PORTILLO,2015,Dengue,3
0,0,0,SAN MARTIN,LA BANDA DE SHILCAYO,SAN MARTIN,2015,Dengue,3
32,30,2,TUMBES,TUMBES,TUMBES,2015,Dengue,3
2,2,0,TUMBES,CASITAS,CONTRALMIRANTE VILLAR,2015,Dengue,3
0,0,0,LORETO,PUINAHUA,REQUENA,2015,Dengue,3
22,22,0,PIURA,PIURA,PIURA,2015,Dengue,3
0,0,0,JUNIN,CHANCHAMAYO,CHANCHAMAYO,2015,Dengue,3
10,10,0,LORETO,SAN JUAN BAUTISTA,MAYNAS,2015,Dengue,3
4,4,0,UCAYALI,YARINACOCHA,CORONEL PORTILLO,2015,Dengue,3
0,0,0,HUANUCO,MARIANO DAMASO BERAUN,LEONCIO PRADO,2015,Dengue,3
0,0,0,MADRE DE DIOS,LABERINTO,TAMBOPATA,2015,Dengue,3
0,0,0,TUMBES,PAPAYAL,ZARUMILLA,2015,Dengue,3
0,0,0,TUMBES,SAN JACINTO,TUMBES,2015,Dengue,3
6,6,0,UCAYALI,CALLERIA,CORONEL PORTILLO,2015,Dengue,3
0,0,0,PASCO,PUERTO BERMUDEZ,OXAPAMPA,2015,Dengue,3
0,0,0,PIURA,LAS LOMAS,PIURA,2015,Dengue,3
0,0,0,TUMBES,ZARUMILLA,ZARUMILLA,2015,Dengue,3
3,3,0,LAMBAYEQUE,PUCALA,CHICLAYO,2015,Dengue,3
1,1,0,JUNIN,RIO NEGRO,SATIPO,2015,Dengue,3
22,22,0,PIURA,MORROPON,MORROPON,2015,Dengue,3
0,0,0,MADRE DE DIOS,LAS PIEDRAS,TAMBOPATA,2015,Dengue,3
4,3,1,PIURA,CASTILLA,PIURA,2015,Dengue,3
0,0,0,SAN MARTIN,JUANJUI,MARISCAL CACERES,2015,Dengue,3
0,0,0,SAN MARTIN,SORITOR,MOYOBAMBA,2015,Dengue,3
0,0,0,LORETO,REQUENA,REQUENA,2015,Dengue,3
0,0,0,PIURA,SULLANA,SULLANA,2015,Dengue,3
0,0,0,PIURA,MANCORA,TALARA,2015,Dengue,3
0,0,0,LORETO,NAUTA,LORETO,2015,Dengue,3
23,23,0,TUMBES,ZORRITOS,CONTRALMIRANTE VILLAR,2015,Dengue,3
5,5,0,JUNIN,SAN RAMON,CHANCHAMAYO,2015,Dengue,3
7,7,0,LORETO,BELEN,MAYNAS,2015,Dengue,3
5,5,0,PIURA,LOS ORGANOS,TALARA,2015,Dengue,3
0,0,0,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,2015,Dengue,3
0,0,0,SAN MARTIN,CASPISAPA,PICOTA,2015,Dengue,3
4,4,0,LORETO,BARRANCA,DATEM DEL MARA�ON,2015,Dengue,3
0,0,0,PIURA,MARCAVELICA,SULLANA,2015,Dengue,3
5,5,0,SAN MARTIN,RUMISAPA,LAMAS,2015,Dengue,3
2,2,0,TUMBES,PAMPAS DE HOSPITAL,TUMBES,2015,Dengue,3
0,0,0,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,2015,Dengue,3
8,8,0,LAMBAYEQUE,PITIPO,FERRE�AFE,2015,Dengue,3
0,0,0,SAN MARTIN,PARDO MIGUEL,RIOJA,2015,Dengue,3
1,1,0,SAN MARTIN,PAJARILLO,MARISCAL CACERES,2015,Dengue,3
4,4,0,JUNIN,PERENE,CHANCHAMAYO,2015,Dengue,3
0,0,0,SAN MARTIN,TARAPOTO,SAN MARTIN,2015,Dengue,3
1,1,0,PIURA,LA MATANZA,MORROPON,2015,Dengue,3
3,3,0,SAN MARTIN,CAYNARACHI,LAMAS,2015,Dengue,3
16,16,0,LORETO,IQUITOS,MAYNAS,2015,Dengue,3
0,0,0,TUMBES,ZARUMILLA,ZARUMILLA,2015,Dengue,4
1,1,0,MADRE DE DIOS,INAMBARI,TAMBOPATA,2015,Dengue,4
0,0,0,HUANUCO,PUERTO INCA,PUERTO INCA,2015,Dengue,4
0,0,0,TUMBES,SAN JUAN DE LA VIRGEN,TUMBES,2015,Dengue,4
56,56,0,LORETO,YURIMAGUAS,ALTO AMAZONAS,2015,Dengue,4
0,0,0,LORETO,ALTO NANAY,MAYNAS,2015,Dengue,4
1,1,0,JUNIN,CHANCHAMAYO,CHANCHAMAYO,2015,Dengue,4
21,21,0,TUMBES,ZORRITOS,CONTRALMIRANTE VILLAR,2015,Dengue,4
0,0,0,PIURA,SULLANA,SULLANA,2015,Dengue,4
0,0,0,MADRE DE DIOS,LAS PIEDRAS,TAMBOPATA,2015,Dengue,4
6,6,0,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,2015,Dengue,4
7,7,0,JUNIN,PICHANAQUI,CHANCHAMAYO,2015,Dengue,4
0,0,0,SAN MARTIN,JEPELACIO,MOYOBAMBA,2015,Dengue,4
1,1,0,HUANUCO,HUANUCO,HUANUCO,2015,Dengue,4
4,4,0,UCAYALI,MANANTAY,CORONEL PORTILLO,2015,Dengue,4
0,0,0,PIURA,MANCORA,TALARA,2015,Dengue,4
7,7,0,LORETO,PUNCHANA,MAYNAS,2015,Dengue,4
0,0,0,LORETO,BARRANCA,DATEM DEL MARA�ON,2015,Dengue,4
6,6,0,PIURA,CASTILLA,PIURA,2015,Dengue,4
0,0,0,JUNIN,SAN RAMON,CHANCHAMAYO,2015,Dengue,4
0,0,0,SAN MARTIN,PAJARILLO,MARISCAL CACERES,2015,Dengue,4
0,0,0,SAN MARTIN,PARDO MIGUEL,RIOJA,2015,Dengue,4
0,0,0,TUMBES,CASITAS,CONTRALMIRANTE VILLAR,2015,Dengue,4
0,0,0,UCAYALI,CURIMANA,PADRE ABAD,2015,Dengue,4
0,0,0,PIURA,LA MATANZA,MORROPON,2015,Dengue,4
1,1,0,UCAYALI,CAMPOVERDE,CORONEL PORTILLO,2015,Dengue,4
2,2,0,TUMBES,PAMPAS DE HOSPITAL,TUMBES,2015,Dengue,4
0,0,0,CAJAMARCA,SAN JOSE DEL ALTO,JAEN,2015,Dengue,4
12,12,0,TUMBES,LA CRUZ,TUMBES,2015,Dengue,4
1,1,0,SAN MARTIN,TARAPOTO,SAN MARTIN,2015,Dengue,4
5,5,0,UCAYALI,YARINACOCHA,CORONEL PORTILLO,2015,Dengue,4
0,0,0,PIURA,MARCAVELICA,SULLANA,2015,Dengue,4
0,0,0,UCAYALI,IRAZOLA,PADRE ABAD,2015,Dengue,4
5,5,0,LAMBAYEQUE,PUCALA,CHICLAYO,2015,Dengue,4
0,0,0,SAN MARTIN,BARRANQUITA,LAMAS,2015,Dengue,4
0,0,0,LORETO,TIGRE,LORETO,2015,Dengue,4
0,0,0,LORETO,CONTAMANA,UCAYALI,2015,Dengue,4
1,1,0,PIURA,MIGUEL CHECA,SULLANA,2015,Dengue,4
0,0,0,JUNIN,RIO NEGRO,SATIPO,2015,Dengue,4
6,6,0,LORETO,BELEN,MAYNAS,2015,Dengue,4
3,3,0,TUMBES,CANOAS DE PUNTA SAL,CONTRALMIRANTE VILLAR,2015,Dengue,4
1,1,0,PIURA,CHULUCANAS,MORROPON,2015,Dengue,4
0,0,0,LORETO,LAGUNAS,ALTO AMAZONAS,2015,Dengue,4
0,0,0,LORETO,NAUTA,LORETO,2015,Dengue,4
12,12,0,TUMBES,CORRALES,TUMBES,2015,Dengue,4
1,1,0,SAN MARTIN,POLVORA,TOCACHE,2015,Dengue,4
0,0,0,TUMBES,SAN JACINTO,TUMBES,2015,Dengue,4
18,18,0,PIURA,PIURA,PIURA,2015,Dengue,4
0,0,0,TUMBES,PAPAYAL,ZARUMILLA,2015,Dengue,4
1,1,0,PASCO,CONSTITUCION,OXAPAMPA,2015,Dengue,4
0,0,0,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,2015,Dengue,4
1,1,0,PASCO,POZUZO,OXAPAMPA,2015,Dengue,4
0,0,0,SAN MARTIN,CASPISAPA,PICOTA,2015,Dengue,4
0,0,0,LORETO,PUINAHUA,REQUENA,2015,Dengue,4
11,11,0,LAMBAYEQUE,PITIPO,FERRE�AFE,2015,Dengue,4
26,26,0,PIURA,MORROPON,MORROPON,2015,Dengue,4
0,0,0,MADRE DE DIOS,LABERINTO,TAMBOPATA,2015,Dengue,4
8,8,0,PIURA,TAMBO GRANDE,PIURA,2015,Dengue,4
2,2,0,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,2015,Dengue,4
0,0,0,SAN MARTIN,LA BANDA DE SHILCAYO,SAN MARTIN,2015,Dengue,4
27,27,0,TUMBES,TUMBES,TUMBES,2015,Dengue,4
17,17,0,UCAYALI,CALLERIA,CORONEL PORTILLO,2015,Dengue,4
11,11,0,PIURA,LOS ORGANOS,TALARA,2015,Dengue,4
1,1,0,HUANUCO,RUPA-RUPA,LEONCIO PRADO,2015,Dengue,4
0,0,0,SAN MARTIN,CAYNARACHI,LAMAS,2015,Dengue,4
0,0,0,LORETO,MAZAN,MAYNAS,2015,Dengue,4
0,0,0,SAN MARTIN,TOCACHE,TOCACHE,2015,Dengue,4
0,0,0,PIURA,LAS LOMAS,PIURA,2015,Dengue,4
0,0,0,HUANUCO,MARIANO DAMASO BERAUN,LEONCIO PRADO,2015,Dengue,4
0,0,0,SAN MARTIN,RUMISAPA,LAMAS,2015,Dengue,4
2,2,0,JUNIN,PERENE,CHANCHAMAYO,2015,Dengue,4
0,0,0,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,2015,Dengue,4
0,0,0,LORETO,REQUENA,REQUENA,2015,Dengue,4
2,2,0,PIURA,CURA MORI,PIURA,2015,Dengue,4
1,1,0,LORETO,INDIANA,MAYNAS,2015,Dengue,4
5,5,0,TUMBES,AGUAS VERDES,ZARUMILLA,2015,Dengue,4
0,0,0,SAN MARTIN,SORITOR,MOYOBAMBA,2015,Dengue,4
1,1,0,PIURA,SECHURA,SECHURA,2016,Dengue,1
5,5,0,UCAYALI,MANANTAY,CORONEL PORTILLO,2016,Dengue,1
5,4,1,UCAYALI,CALLERIA,CORONEL PORTILLO,2016,Dengue,1
1,1,0,JUNIN,RIO TAMBO,SATIPO,2016,Dengue,1
1,1,0,PIURA,MIGUEL CHECA,SULLANA,2016,Dengue,1
1,1,0,HUANUCO,JOSE CRESPO Y CASTILLO,LEONCIO PRADO,2016,Dengue,1
19,19,0,JUNIN,SATIPO,SATIPO,2016,Dengue,1
9,9,0,CUSCO,KIMBIRI,LA CONVENCION,2016,Dengue,1
5,5,0,JUNIN,PANGOA,SATIPO,2016,Dengue,1
3,1,2,LORETO,PUNCHANA,MAYNAS,2016,Dengue,1
4,4,0,CAJAMARCA,JAEN,JAEN,2016,Dengue,1
1,1,0,MADRE DE DIOS,LABERINTO,TAMBOPATA,2016,Dengue,1
41,41,0,CUSCO,PICHARI,LA CONVENCION,2016,Dengue,1
2,2,0,LORETO,SAN JUAN BAUTISTA,MAYNAS,2016,Dengue,1
1,1,0,LA LIBERTAD,EL PORVENIR,TRUJILLO,2016,Dengue,1
1,1,0,MADRE DE DIOS,MADRE DE DIOS,MANU,2016,Dengue,1
1,1,0,LAMBAYEQUE,OLMOS,LAMBAYEQUE,2016,Dengue,1
1,1,0,UCAYALI,CAMPOVERDE,CORONEL PORTILLO,2016,Dengue,1
29,29,0,AYACUCHO,AYNA,LA MAR,2016,Dengue,1
2,2,0,ANCASH,CASMA,CASMA,2016,Dengue,1
7,7,0,JUNIN,MAZAMARI,SATIPO,2016,Dengue,1
2,2,0,CAJAMARCA,HUARANGO,SAN IGNACIO,2016,Dengue,1
1,1,0,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,2016,Dengue,1
32,32,0,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,2016,Dengue,1
3,3,0,MADRE DE DIOS,IBERIA,TAHUAMANU,2016,Dengue,1
9,9,0,UCAYALI,CALLERIA,CORONEL PORTILLO,2016,Dengue,2
1,1,0,AYACUCHO,SIVIA,HUANTA,2016,Dengue,2
1,1,0,HUANUCO,TOURNAVISTA,PUERTO INCA,2016,Dengue,2
9,9,0,PIURA,SALITRAL,MORROPON,2016,Dengue,2
39,39,0,CUSCO,PICHARI,LA CONVENCION,2016,Dengue,2
1,0,1,PIURA,BERNAL,SECHURA,2016,Dengue,2
3,2,1,LORETO,PUNCHANA,MAYNAS,2016,Dengue,2
1,1,0,JUNIN,RIO TAMBO,SATIPO,2016,Dengue,2
1,1,0,LA LIBERTAD,TRUJILLO,TRUJILLO,2016,Dengue,2
0,0,0,UCAYALI,CAMPOVERDE,CORONEL PORTILLO,2016,Dengue,2
19,19,0,PIURA,PARI�AS,TALARA,2016,Dengue,2
9,9,0,HUANUCO,RUPA-RUPA,LEONCIO PRADO,2016,Dengue,2
2,2,0,PIURA,LA UNION,PIURA,2016,Dengue,2
2,2,0,MADRE DE DIOS,MADRE DE DIOS,MANU,2016,Dengue,2
36,35,1,AYACUCHO,AYNA,LA MAR,2016,Dengue,2
2,2,0,LAMBAYEQUE,PATAPO,CHICLAYO,2016,Dengue,2
2,2,0,HUANUCO,PUERTO INCA,PUERTO INCA,2016,Dengue,2
0,0,0,CAJAMARCA,HUARANGO,SAN IGNACIO,2016,Dengue,2
3,3,0,JUNIN,MAZAMARI,SATIPO,2016,Dengue,2
16,16,0,JUNIN,SATIPO,SATIPO,2016,Dengue,2
9,9,0,MADRE DE DIOS,IBERIA,TAHUAMANU,2016,Dengue,2
2,2,0,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,2016,Dengue,2
1,1,0,PIURA,CRISTO NOS VALGA,SECHURA,2016,Dengue,2
0,0,0,HUANUCO,JOSE CRESPO Y CASTILLO,LEONCIO PRADO,2016,Dengue,2
1,1,0,HUANUCO,YUYAPICHIS,PUERTO INCA,2016,Dengue,2
0,0,0,UCAYALI,IRAZOLA,PADRE ABAD,2016,Dengue,2
